"","totT","totV1","totV2","totV3","totV4"
"1",1441979968.3,27081.7681500016,22096.801611999,14507.2207535255,19029.9018853504
"2",1441979969.3,28406.1774265332,25598.0773864755,20539.8765748194,28291.5040117605
"3",1441979970.3,29326.7344274222,23031.9883797574,19385.2812068944,19018.8410906471
"4",1441979971.3,30286.2595144823,24661.4293704177,18334.5984653082,25305.4487373823
"5",1441979972.3,26971.6228622287,26642.5605236607,22620.0524289643,69629.7628102816
"6",1441979973.3,34415.8486516226,25422.1511623748,17800.1120477655,20516.5066913839
"7",1441979974.3,24947.2170550829,25623.4864039498,20704.940876304,35690.9400263344
"8",1441979975.3,20871.041009395,19169.3561516605,14604.4260234696,26264.2625706139
"9",1441979976.3,30389.8473348513,29727.2763738055,30022.9061835362,43051.9700014219
"10",1441979977.3,22475.2695584334,19380.2239224556,22775.9676350309,62842.0385979657
