"","t","mic"
"1",1441979968.3,28151
"2",1441979968.3,28071
"3",1441979968.3,28095
"4",1441979968.3,27961
"5",1441979968.3,28071
"6",1441979968.3,28133
"7",1441979968.3,28211
"8",1441979968.3,27991
"9",1441979968.3,28147
"10",1441979968.3,28159
"11",1441979968.3,28215
"12",1441979968.3,28199
"13",1441979968.3,28075
"14",1441979968.3,28301
"15",1441979968.3,28109
"16",1441979968.3,28151
"17",1441979968.3,28103
"18",1441979968.3,28343
"19",1441979968.3,28223
"20",1441979968.3,28079
"21",1441979968.3,28255
"22",1441979968.3,28215
"23",1441979968.3,27951
"24",1441979968.3,28231
"25",1441979968.3,28015
"26",1441979968.3,27927
"27",1441979968.31,27967
"28",1441979968.31,28159
"29",1441979968.31,28059
"30",1441979968.31,27967
"31",1441979968.31,27931
"32",1441979968.31,28095

